Maura Ferrante
Sante Cabibbo
Giacobbe Marconi-Armellini
Fedele Caccianemico
Sig.ra Bianca Segrè
Dott. Vanessa Borgia
Melissa Cesaroni
Leopoldo Maggioli
Dina Mazzi
Dott. Giacinto Valmarana
Angelina Colletti
Filippa Serao
Telemaco Giusti
Nicolò Turci
Rossana Pellico
Simonetta Renzi-Bonanno
Tonia Borromeo
Guido Saffi
Ilaria Foa
Elvira Battelli
Fiamma Caruso
Ninetta Salandra
Dott. Vito Mantegna
Gabriella Marini-Bramante
Damiano Fuseli
Uberto Papetti
Allegra Grimani-Schiavo
Antonietta Callegari
Baccio Montecchi
Milena Amato
Annunziata Mercadante-Martucci
Sonia Barracco
Diana Altera
Erika Vigliotti
Eva Curci
Saverio Valier
Dott. Pina Gasperi
Rosina Mattarella
Ruggero Manzoni
Dott. Lolita Sforza
Amanda Siffredi
Ezio Venditti
Sig.ra Angelina Bonino
Agostino Surian
Pierluigi Matteotti
Sig. Donatello Luna
Allegra Pavone
Renata Emanuelli
Sig. Gionata Silvestri
Beppe Aulenti-Bosio
Marta Bragaglia
Raimondo Boaga
Dott. Severino Bernini
Eva Necci
Loretta Schiaparelli
Severino Bonino
Fredo Luciani
Raffaella Grifeo
Rosina Pedrazzini
Sig.ra Rosalia Castioni
Ranieri Abate
Silvio Vigliotti
Eliana Carocci
Pasquale Cutuli
Sandro Dossi
Antonello Coppola
Marcella Faranda-Leone
Giacobbe Sibilia
Daria Bajamonti-Tasca
Osvaldo Ferretti
Dott. Bianca Crispi
Patrizia Piovani
Valeria Sagredo
Isa Cimini
Marina Majorana
Rosalia Emo-Pinamonte
Sig.ra Lidia Interiano
Sabatino Tencalla-Sbarbaro
Osvaldo Spadafora-Turchetta
Lodovico Fabbri
Sig.ra Bianca Bonomo
Loredana Sonnino
Fernanda Schicchi-Tanzini
Ettore Navone
Sig. Domenico Orsini
Giulietta Palumbo
Marta Carfagna
Camilla Zamengo
Giacomo Cainero-Garibaldi
Sig. Gabriele Coardi
Beppe Letta-Rismondo
Guglielmo Barsanti
Sig.ra Teresa Tommaseo
Ermes Antonucci
Loredana Ubaldi
Calcedonio Rizzo
Rocco Ruggeri
Giovanna Andreotti
Ugo Sokolov
Tatiana Piane
Sole Vasari
Ilaria Manunta
Fernanda Carocci
Baccio Bacosi-Luria
Oreste Soprano
Dott. Flavia Giammusso
Cecilia Modiano-Carfagna
Concetta Antonello
Dott. Tina Manacorda
Pietro Interminelli
Sante Bixio
Dott. Coriolano Disdero
Matilda Iacovelli-Forza
Rosa Mantegazza-Marconi
Lilla Pisani
Gioele Pennetta
Dolores Scotto
Amedeo Ciani
Sig. Girolamo Accardo
Giulia Branciforte-Cignaroli
Napoleone Morabito
Dott. Hugo Salvo
Raffaella Filippelli
Piergiuseppe Fittipaldi
Eugenia Volterra-Ciampi
Ornella Querini
Sig.ra Vanessa Trevisan
Annunziata Galvani
Diana Trapani
Sig. Lucio Pellegrini
Romolo Baracca
Priscilla Brambilla
Dott. Isa Valmarana
Vittoria Anichini-Zaguri
Teresa Saffi
Paulina Nadi-Cundari
Rembrandt Manacorda
Dott. Marco Romiti
Marta Guidotti
Mariana Chiesa
Nedda Palazzo
Renata Cadorna
Dott. Lidia Luria
Patrizia Montesano
Sig.ra Elvira Lamborghini
Liberto Campise
Stella Scarlatti
Lolita Onisto-Canali
Aria Cutuli
Emma Cannizzaro
Leone Brenna
Benvenuto Palombi-Cesarotti
Baldassare Dallara
Rossana Capecchi
Flavia Ficino-Ferrabosco
Matteo Bragadin-Parisi
Sig. Marcello Viviani
Sig. Aldo Trapani
Dina Spanevello
Germana Spanevello
Maria Giradello
Arnulfo Missoni
Federica Carli
Daniele Borromini
